,Unnamed: 0,address,description,postal_code,lat,lon,square_lat,square_lon
86,86,"259C PUNGGOL FIELD, PUNGGOL WEST CC","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",823259,1.40451590068484,103.89566486383,9,17
87,87,"268D PUNGGOL FIELD, PUNGGOL SAPPHIRALD RN, #01-173","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",824268,1.40331377225975,103.898358930385,9,17
88,88,"991 BUANGKOK LINK, LEVEL 1","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",530991,1.3843342640345,103.881623077407,8,16
89,89,"1 JURONG WEST ST 71, SECURITY GUARD POST","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",642648,1.33838768620432,103.698192624513,6,6
90,90,"548 WOODLANDS DRIVE 44, LEVEL 1","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",730548,1.43084006633629,103.793416336246,10,11
91,91,"133 CANBERRA VIEW, LEVEL 1","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",750133,1.44349544002733,103.830345370073,11,13
92,92,"30 HENG MUI KENG TERRACE, LEVEL 1","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",119614,1.29125963881342,103.776679540457,4,10
93,93,"810 GEYLANG RD, LEVEL 1","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",409286,1.31495729637934,103.893400329176,5,17
94,94,"477A UPPER SERANGOON VIEW, LEVEL 1","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",531477,1.37830875828283,103.903841964129,8,17
95,95,"260 ANG MO KIO STREET 21, #01-06","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",560260,1.36891616406036,103.834499527161,7,13
96,96,"312B SUMANG LINK, #01-171","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",823312,1.41090728243885,103.901186083679,9,17
97,97,252 NORTH BRIDGE RD,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",179103,1.29376027875418,103.852768332387,4,14
98,98,"930 YISHUN AVE 2, #03-90/10","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",769098,1.42969847969486,103.835776496688,10,13
99,99,"252 NORTH BRIDGE RD, #03-22/23","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",179103,1.29376027875418,103.852768332387,4,14
100,100,"TANJONG PAGAR PLAZA, #01-01",Bin collection; E-waste accepted: Batteries and Lamps only,82001,1.27559619005356,103.842393168675,3,14
101,101,"166 BUKIT MERAH CENTRAL, #01-3531 & 02-3531",Bin collection; E-waste accepted: Batteries and Lamps only,150166,1.28311949644729,103.817642874205,3,12
102,102,"BLK 57 DAWSON RD, DAWSON PLACE, #01-07",Bin collection; E-waste accepted: Batteries and Lamps only,142057,1.2927033928985,103.81095896399,4,12
103,103,"BLK 50 HAVELOCK RD, BLK 50 HAVELOCK RD, #01-755",Bin collection; E-waste accepted: Batteries and Lamps only,160050,1.2897781328001,103.82679375163,4,13
104,104,"460 ALEXANDRA RD, 460 ALEXANDRA RD, #01-09 AND #01-16",Bin collection; E-waste accepted: Batteries and Lamps only,119963,1.27367657754603,103.801126950046,3,11
105,105,"1 LOWER KENT RIDGE RD, NUH MEDICAL CENTRE, #02-16",Bin collection; E-waste accepted: Batteries and Lamps only,119082,1.2927743133923,103.784084015695,4,10
106,106,"80 PUNGGOL FIELD, PUNGGOL 21 CC","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",828815,1.39360624159956,103.913464113125,9,18
107,107,"163 TANGLIN ROAD, TANGLIN MALL, #B1-01",Bin collection; E-waste accepted: Batteries and Lamps only,247933,1.30484343221316,103.823852800985,4,13
108,108,"313 ORCHARD ROAD, 313 SOMERSET, #02-28",Manned collection; E-waste accepted: ICT equipment and Batteries only,238895,1.30138509490103,103.837684358423,4,13
109,109,"435 ORCHARD ROAD, WISMA ATRIA, #03-01",Manned collection; E-waste accepted: ICT equipment and Batteries only,238877,1.30369890150462,103.833189600965,4,13
110,110,"23 SERANGOON CENTRAL, NEX, #03-21",Manned collection; E-waste accepted: ICT equipment and Batteries only,556083,1.35043817177432,103.87170454945,6,15
111,111,"68 ORCHARD ROAD, STAHUB @ PLAZA SING, #1-36",Manned collection; E-waste accepted: ICT equipment and Batteries only,238839,1.30074770847155,103.845047580881,4,14
112,112,"4 TAMPINES CENTRAL 5, STARHUB @ TAMPINES, #2-27",Manned collection; E-waste accepted: ICT equipment and Batteries only,529510,1.35267231590699,103.944387987324,7,19
113,113,"23 SERANGOON CENTRAL, NEX, #B1-56",Manned collection; E-waste accepted: ICT equipment and Batteries only,556083,1.35043817177432,103.87170454945,6,15
114,114,"2 JURONG EAST STREET 21, IMM, #01-53",Manned collection; E-waste accepted: ICT equipment and Batteries only,609601,1.33489843717476,103.7467344968,6,8
115,115,"1 BUKIT BATOK CENTRAL LINK, WEST MALL, #01-16",Manned collection; E-waste accepted: ICT equipment and Batteries only,658713,1.35018915982967,103.749021980031,6,8
116,116,"1 RAFFLES PLACE, ONE RAFFLES PLACE, #02-25",Manned collection; E-waste accepted: ICT equipment and Batteries only,48616,1.28433993485695,103.850982351781,3,14
117,117,"290 ORCHARD ROAD, THE PARAGON, #04-31",Manned collection; E-waste accepted: ICT equipment and Batteries only,238859,1.30372321372467,103.835240310126,4,13
118,118,"4 TAMPINES CENTRAL 5, TAMPINES MALL, #03-01",Manned collection; E-waste accepted: ICT equipment and Batteries only,529510,1.35267231590699,103.944387987324,7,19
119,119,"1 WOODLANDS SQUARE, CAUSEWAY POINT, #03-01",Manned collection; E-waste accepted: ICT equipment and Batteries only,738099,1.43600784517148,103.785688739235,11,11
120,120,"80 MIDDLE ROAD, BUGIS JUNCTION, #01-81",Manned collection; E-waste accepted: ICT equipment and Batteries only,188966,1.29846962637,103.854867046362,4,14
121,121,"80 MARINE PARADE ROAD, PARKWAY PARADE, #02-24",Manned collection; E-waste accepted: ICT equipment and Batteries only,449269,1.30119130748691,103.905113592255,4,17
122,122,"3 FUSIONOPOLIS WAY, BASEMENT 2 CONNEXIS","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",138633,1.29901131909216,103.787567251574,4,11
123,123,"80 BENCOOLEN STREET, LEVEL 1 WING A","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",189655,1.29946332963088,103.851185944181,4,14
124,124,11 RHU CROSS,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",437440,1.29499327834417,103.866775484716,4,15
125,125,100 YUAN CHING RD,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",618662,1.33935955388184,103.727299471215,6,7
126,126,"674A, JURONG WEST STREET 65, #01-66","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",641674,1.34446132877907,103.702315285031,6,6
127,127,218D BOON LAY AVE #01-309,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",640218,1.350218607854,103.710255719064,6,6
128,128,"5 PINE CLOSE, #01-141","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",391005,1.30704305553309,103.882688424945,4,16
129,129,"55 NEWTON RD, LEVEL 2","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",307987,1.3194895845632,103.841975318466,5,14
130,130,512 THOMSON ROAD MSF BUILDING LOBBY,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",298136,1.3336652631755,103.839419161507,6,14
131,131,"51 NEW UPPER CHANGI ROAD, #01-1500","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",461051,1.32342985595863,103.942269412202,5,19
132,132,"71 BEDOK SOUTH ROAD, #01-250","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",460071,1.32041601686604,103.942732315687,5,19
133,133,"167 BEDOK SOUTH AVE 3, #01-501","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",460167,1.3196396832799,103.944965235932,5,19
134,134,"133 NEW BRIDGE ROAD, #06-01","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",59413,1.28499882771298,103.844697085395,3,14
135,135,200 LORONG 2 TOA PAYOH,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",319642,1.3353827124599,103.844830875826,6,14
136,136,"232 TAMPINES STREET 21, #01-639","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",521232,1.35641019022249,103.948701743616,7,20
137,137,"1 WEST COAST DRIVE, #01-111","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",128020,1.31641320903159,103.757451264505,5,9
138,138,3024A UBI RD 1,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",408718,1.32985965145243,103.896058169727,5,17
139,139,"BEDOK INDUSTRIAL PARK E, PAVILION","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",489978,1.33674833674262,103.949900396416,6,20
140,140,"166 BUKIT MERAH CENTRAL, #03-3527","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",150166,1.28311949644729,103.817642874205,3,12
141,141,"108 BUKIT PURMEI ROAD, #01-129","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",90108,1.27337412903551,103.825328122484,3,13
142,142,"168 JALAN BUKIT MARAH, SURBANA ONE, LEVEL 1","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",150169,1.28331721051266,103.818863113389,3,12
143,143,"BLK 108 DEPOT RD, DEPOT HEIGHTS SHOPPING CENTRE, #01-01",Bin collection; E-waste accepted: Batteries and Lamps only,100108,1.28112226404962,103.810031318703,3,12
144,144,"BLK 36 HOLLAND DR, BLK 36 HOLLAND DR, #01-03/04/05",Bin collection; E-waste accepted: Batteries and Lamps only,270036,1.30925871460611,103.792619417011,4,11
145,145,"BLK 28 DOVER CRESCENT, BLK 28 DOVER CRESCENT, #01-83",Bin collection; E-waste accepted: Batteries and Lamps only,130028,1.30476356255085,103.781697209464,4,10
146,146,"BLK 451 CLEMENTI AVE 3, BLK 451 AVE 3, #01-307",Bin collection; E-waste accepted: Batteries and Lamps only,120451,1.31248108236843,103.765476504358,5,9
147,147,"BLK 399 YUNG SHENG RD, TAMAN JURONG SHOPPING CENTRE, #01-35",Bin collection; E-waste accepted: Batteries and Lamps only,610399,1.335042021408,103.720268024233,6,7
148,148,"BLK 63/66 YUNG KUANG RD, BLK 66 YUNG KANG RD, #01-119 AND #02-119",Bin collection; E-waste accepted: Batteries and Lamps only,610063,1.33205938361655,103.722452883915,6,7
149,149,"BLK 221 BOON LAY PLACE, BOON LAY SHOPPING CENTRE, #02-200",Bin collection; E-waste accepted: Batteries and Lamps only,640221,1.34639604067888,103.712387719568,6,6
150,150,"NO. 1 JURONG WEST CENTRAL 2, JURONG POINT 1, #B1-09",Bin collection; E-waste accepted: Batteries and Lamps only,648886,1.3398301525794,103.70646088413,6,6
151,151,"BLK 502 WEST COAST DR, BLK 502 WEST COAST DR, #01-41",Bin collection; E-waste accepted: Batteries and Lamps only,120502,1.31188595555903,103.759080937631,5,9
152,152,"17 PETIR RD, HILLION MALL, #B2-67",Bin collection; E-waste accepted: Batteries and Lamps only,678278,1.37834971260866,103.76274117629,8,9
153,153,"21 CHOA CHU KANG AVE 4, LOT 1 SHOPPERS' MALL, #B1-03",Bin collection; E-waste accepted: Batteries and Lamps only,689812,1.38506835667563,103.744950384161,8,8
154,154,"1 CHOA CHU KANG GROVE, ITE COLLEGE WEST, BLOCK 1, LEVEL 3 FOOD CANOPY","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",688236,1.37502493396044,103.752112715995,8,9
155,155,"4 TAMPINES CENTRAL 5, TAMPINES MALL, #03-16/16A","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",529510,1.35267231590699,103.944387987324,7,19
156,156,"602A TAMPINES AVENUE 9, #01-01","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",521602,1.36113645470954,103.93742559472,7,19
157,157,"9 BISHAN PLACE, JUNCTION 8 SHOPPING CENTRE, #3-2","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",579837,1.35017242685302,103.848430082687,6,14
158,158,"3 HARBOUR DRIVE, PASIR PANJANG TERMINAL BUILDING 3","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",117404,1.27459998107058,103.790191441877,3,11
159,159,"8 CHANGI BUSINESS PARK AVE 1, #01-51 &, #02-51","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",486018,1.33491977308775,103.963653904182,6,20
160,160,"BLK 573 WOODLANDS DRIVE 16, #02-01",Bin collection; E-waste accepted: Batteries and Lamps only,730573,1.43109806887589,103.798507625095,10,11
161,161,"BLK 182 WOODLANDS ST 13, #01-01",Bin collection; E-waste accepted: Batteries and Lamps only,730182,1.4351589456523,103.776023346965,11,10
162,162,"BLK 25 GHIM MOH LINK, #01-11",Bin collection; E-waste accepted: Batteries and Lamps only,270025,1.30811885974155,103.786049387238,4,11
