,address,description,postal_code,lat,lon
337,"NO. 1 JELEBU RD, BUKIT PANJANG PLAZA, #01-15 & #02-20",Bin collection; E-waste accepted: Batteries and Lamps only,677743,1.38051732815914,103.763961852618
338,"61 CHOA CHU KANG DR, YEW TEE MRT STATION, #01-01",Bin collection; E-waste accepted: Batteries and Lamps only,689715,1.39712886014404,103.747329719197
339,"3155 COMMONWEALTH AVENUE WEST, THE CLEMENTI MALL, #B1-12",Bin collection; E-waste accepted: Batteries and Lamps only,129588,1.31485321802259,103.764248205662
340,"1 MAJU AVE, SERANGOON GARDEN VILLAGE, #B1-11",Bin collection; E-waste accepted: Batteries and Lamps only,556679,1.36516070778275,103.865041855148
341,"NO. 1 JLN ANAK BUKIT, BUKIT TIMAH PLAZA, #B1-01 & #B2-01",Bin collection; E-waste accepted: Batteries and Lamps only,588996,1.33865676913061,103.778560470199
342,"301 UPPER THOMSON RD, THOMSON PLAZA, #03-37/38",Bin collection; E-waste accepted: Batteries and Lamps only,574408,1.3546690188205,103.83091978573
343,"5 STADIUM WALK, KALLANG LIESURE PARK, #B1-01",Bin collection; E-waste accepted: Batteries and Lamps only,397693,1.30222177114752,103.876152670397
344,"720  CLEMENTI WEST ST 2, #01-144","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",120720,1.30246408379367,103.763750976116
345,"451 BUKIT BATOK WEST AVENUE 6, #01-10","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",650451,1.35303717544773,103.74394257144
346,"118 ALJUNIED AVE 2, #01-100","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",380118,1.32000040191606,103.887363067673
347,"209 NEW UPPER CHANGI RD, #01-631","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",460209,1.32463572606471,103.931068835678
348,10 SERANGOON NORTH AVENUE 2,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",555877,1.37005486240283,103.873927617452
349,50 ANG MO KIO STREET 61,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",569163,1.38151727157775,103.841428124035
350,ANG MO KIO AVENUE 10,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",569734,1.36308867917974,103.853536076665
351,ANG MO KIO AVENUE 4,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",569897,1.37300749906274,103.83761242449
352,ANG MO KIO AVENUE 1,"Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",569976,1.36683348076669,103.840668130336
353,"200 TURF CLUB ROAD DBS THE GRANDSTAND, THE GRANDSTAND (TURF CITY)","Bin collection; E-waste accepted: ICT equipment, Batteries and Lamps only",287994,1.33899462699318,103.793133806944
