,address,description,postal_code,lat,lon
11668,PASIR RIS DRIVE 6,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",511441,1.369626529630499,103.9578182518971
11669,BISHAN STREET 13,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",571167,1.347252242480144,103.8554646754501
11670,WOODLANDS STREET 81,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",731824,1.439429461155292,103.7891402823033
11671,TAMPINES STREET 71,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",520707,1.357647865501884,103.9368909756494
11672,TAMPINES STREET 71,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",520731,1.357006694083005,103.934099352106
11673,YISHUN AVENUE 11,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",760351,1.426429310748004,103.8440721361782
11674,STIRLING ROAD,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",141169,1.290233567129711,103.8029727722965
11675,DAWSON ROAD,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",142057,1.292703398325833,103.8109589603954
11676,BUKIT MERAH VIEW,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",151129,1.283503070961047,103.8233537318106
11677,KIM TIAN ROAD,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",161125,1.283085742644946,103.8286581985991
11678,BOON TIONG ROAD,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",165002,1.286830123347232,103.8332871258942
11679,BOON TIONG ROAD,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",166008,1.286986870592379,103.829630159766
11680,JELLICOE ROAD,"To deposit recyclables such as paper (e.g. carton boxes, newspaper, magazine), plastics (e.g. plastic bottle, container), glass (e.g. beverage glass bottle) and metals (e.g. drink cans, metal containe",200814,1.307220802969003,103.8618099823391
